symptoms,condition,specialization
"Severe Tooth Pain, Swelling, Fever, Pus","Dental Abscess","Dentistry"
"Bruxism, Jaw Pain, Clicking, Limited Mouth Opening","Temporomandibular Joint Disorder","Dentistry"
"Vaginal Itching, Discharge, Burning, Odor","Vaginal Yeast Infection","Obstetrics and Gynecology"
"Pelvic Pain, Irregular Periods, Heavy Menstrual Bleeding","Endometriosis","Obstetrics and Gynecology"
"Severe Menstrual Cramps, Excessive Bleeding, Anemia","Dysmenorrhea","Obstetrics and Gynecology"
"Breast Pain, Lumpiness, Nipple Discharge, Tenderness","Fibrocystic Breast Disease","Obstetrics and Gynecology"
"Breast Lump, Hard Mass, Dimpling, Nipple Changes","Breast Cancer","Oncology"
"Infertility, Irregular Periods, Ovarian Cysts, Hormonal Imbalance","Polycystic Ovary Syndrome","Obstetrics and Gynecology"
"Erectile Dysfunction, Premature Ejaculation, Low Libido","Male Sexual Dysfunction","Urology"
"Pain During Sexual Intercourse, Vaginal Dryness, Reduced Libido","Female Sexual Dysfunction","Obstetrics and Gynecology"
"Persistent Cough, Hemoptysis, Night Sweats, Fever, Weight Loss","Lung Cancer","Oncology"
"Persistent Diarrhea, Abdominal Pain, Weight Loss, Fatigue","Colorectal Cancer","Oncology"
"Abdominal Swelling, Ascites, Abdominal Pain, Weight Loss","Ovarian Cancer","Oncology"
"Blood in Urine, Flank Pain, Lower Back Pain","Renal Cancer","Oncology"
"Enlarged Prostate, Weak Urine Stream, Nocturia, Hematuria","Prostate Cancer","Oncology"
"Persistent Hoarseness, Sore Throat, Difficulty Swallowing, Ear Pain","Laryngeal Cancer","Oncology"
"Thyroid Nodule, Hoarseness, Difficulty Swallowing, Neck Lump","Thyroid Cancer","Oncology"
"Bone Pain, Fractures, Weakness, Numbness","Multiple Myeloma","Oncology"
"Enlarged Lymph Nodes, Fever, Night Sweats, Weight Loss","Hodgkin Lymphoma","Oncology"
"Fatigue, Bone Pain, Kidney Problems, Anemia","Leukemia","Oncology"
"Muscle Weakness, Pain, Rhabdomyolysis, Dark Urine","Statins Side Effects","Pharmacology"
"Persistent Headache, Personality Changes, Confusion, Seizures","Brain Tumor","Neurology"
"Sudden Onset Fever, Severe Headache, Neck Stiffness, Rash","Bacterial Meningitis","Infectious Diseases"
"Persistent Diarrhea, Abdominal Cramping, Bloody Stools, Fever","Inflammatory Bowel Disease","Gastroenterology"
"Diarrhea, Abdominal Pain, Bloating, Weight Loss, Fatigue","Celiac Disease","Gastroenterology"
"Abdominal Pain, Nausea, Constipation, Vomiting, Distension","Intestinal Obstruction","Surgery"
"Severe Rectal Pain, Bleeding, Itching, Swelling","Hemorrhoids","General Surgery"
"Persistent Anal Pain, Tearing, Bleeding, Spasm","Anal Fissure","General Surgery"
"Anal Mass, Bleeding, Pain, Itching, Discharge","Anal Cancer","Oncology"
"Jaundice, Abdominal Pain, Fever, Dark Urine, Pale Stool","Acute Hepatitis","Gastroenterology"
"Fatigue, Itching, Jaundice, Swollen Abdomen, Confusion","Liver Cirrhosis","Gastroenterology"
"Sudden Severe Headache, Stiff Neck, Photophobia, Seizures","Subarachnoid Hemorrhage","Neurology"
"Persistent Headache, Visual Disturbances, Weakness, Confusion","Brain Abscess","Neurology"
"High Fever, Severe Chills, Night Sweats, Heart Murmur","Infective Endocarditis","Cardiology"
"Chest Tightness, Shortness of Breath, Diaphoresis, Nausea","Acute Coronary Syndrome","Cardiology"
"Severe Chest Pain, Shortness of Breath, Hypotension, Shock","Aortic Dissection","Cardiology"
"Unilateral Leg Swelling, Pain, Redness, Warmth","Deep Vein Thrombosis","Vascular Surgery"
"Sudden Shortness of Breath, Chest Pain, Tachycardia, Hypoxia","Pulmonary Embolism","Pulmonology"
"Persistent Cough, Fatigue, Chest Pain, Shortness of Breath","Idiopathic Pulmonary Fibrosis","Pulmonology"
"Severe Acute Respiratory Distress, Hypoxia, Bilateral Infiltrates","Acute Respiratory Distress Syndrome","Critical Care"
"Sudden Vertigo, Nystagmus, Nausea, Vomiting, Loss of Balance","Benign Paroxysmal Positional Vertigo","ENT"
"Sudden Hearing Loss, Vertigo, Tinnitus, Nausea","Sudden Sensorineural Hearing Loss","ENT"
"Recurrent Vertigo, Hearing Loss, Tinnitus, Fullness in Ear","Meniere's Disease","ENT"
"Severe Ear Pain, Hearing Loss, Sudden Onset, Fever","Acute Mastoiditis","ENT"
"Chronic Cough, Purulent Sputum, Hemoptysis, Recurrent Infections","Bronchiectasis","Pulmonology"
"Sudden Weakness, Numbness, Vision Loss, Ataxia","Transient Ischemic Attack","Neurology"
"Tremors, Postural Instability, Cognitive Decline, Speech Changes","Progressive Supranuclear Palsy","Neurology"
"Emotional Lability, Weakness, Spasticity, Speech Difficulty","Pseudobulbar Palsy","Neurology"
"Muscle Twitching, Weakness, Cramping, Fasciculations","Benign Fasciculation Syndrome","Neurology"
"Chronic Pain, Sleep Disturbance, Fatigue, Cognitive Dysfunction","Fibromyalgia","Rheumatology"
"Joint Pain, Swelling, Morning Stiffness, Systemic Symptoms","Systemic Lupus Erythematosus","Rheumatology"
"Skin Rash, Joint Pain, Muscle Weakness, Systemic Symptoms","Dermatomyositis","Rheumatology"
"Raynaud Phenomenon, Skin Tightening, Dysphagia, Reflux","Systemic Sclerosis","Rheumatology"
"Dry Eyes, Dry Mouth, Joint Pain, Salivary Gland Swelling","Sjogren's Syndrome","Rheumatology"
"Fatigue, Muscle Weakness, Ptosis, Double Vision","Myasthenia Gravis","Neurology"
"Severe Fatigue, Muscle Pain, Cognitive Dysfunction, Fever","Myalgic Encephalomyelitis","Infectious Diseases"
"Acute Weakness, Numbness, Ascending Paralysis, Autonomic Dysfunction","Guillain-Barre Syndrome","Neurology"
"Facial Paralysis, Ear Pain, Hearing Loss, Taste Changes","Bell's Palsy","Neurology"
"Hyperactivity, Inattention, Impulsivity, Learning Difficulties","Attention-Deficit/Hyperactivity Disorder","Psychiatry"
"Persistent Sadness, Anxiety, Hopelessness, Suicidal Ideation","Major Depressive Disorder","Psychiatry"
"Elevated Mood, Grandiosity, Decreased Need for Sleep, Recklessness","Bipolar Disorder","Psychiatry"
"Delusions, Hallucinations, Disorganized Speech, Social Withdrawal","Schizophrenia","Psychiatry"
"Numbness, Tingling, Weakness, Pain in Extremities","Peripheral Neuropathy","Neurology"
"Sudden Severe Abdominal Pain, Bloody Stool, Abdominal Distension","Ischemic Bowel","Gastroenterology"
"Severe Epigastric Pain, Vomiting, Hematemesis, Melena","Peptic Ulcer Disease","Gastroenterology"
"Severe Shoulder Pain, Limited Range of Motion, Weakness, Stiffness","Frozen Shoulder","Orthopedics"
"Knee Pain, Swelling, Giving Way, Clicking, Limited Range","Anterior Cruciate Ligament Injury","Orthopedics"
"Ankle Swelling, Pain, Bruising, Difficulty Walking","Ankle Sprain","Orthopedics"
"Wrist Pain, Swelling, Numbness, Tingling in Hand","Carpal Tunnel Syndrome","Orthopedics"
"Lower Back Pain, Numbness, Weakness, Loss of Bowel Control","Cauda Equina Syndrome","Neurology"
"Foot Pain, Numbness, Tingling, Weakness, Muscle Atrophy","Charcot-Marie-Tooth Disease","Neurology"
"High Fever, Severe Headache, Body Aches, Cough, Fatigue","Influenza Virus Infection","Infectious Diseases"
"Fever, Severe Cough, Shortness of Breath, Chest Tightness","Atypical Pneumonia","Pulmonology"
"Persistent Dry Cough, Fever, Night Sweats, Weight Loss","Fungal Respiratory Infection","Pulmonology"
"Fever, Rash, Itching, Fluid-Filled Blisters, Scabs","Chickenpox","Infectious Diseases"
"Pain, Burning, Vesicular Rash in Dermatomal Distribution","Herpes Zoster","Infectious Diseases"
"Genital Ulcers, Painful Vesicles, Burning Sensation, Systemic Symptoms","Genital Herpes","Infectious Diseases"
"Genital Warts, Itching, Burning, Vaginal Discharge, Abnormal Pap","Human Papillomavirus Infection","Obstetrics and Gynecology"
"Fever, Swollen Lymph Nodes, Sore Throat, Fatigue, Splenomegaly","Acute Mononucleosis","General Practice"
"Persistent Fever, Night Sweats, Weight Loss, Cough, Fatigue","Tuberculosis Infection","Pulmonology"
"Fever, Headache, Joint Pain, Rash, Muscle Aches","Measles","Infectious Diseases"
"Fever, Cough, Conjunctivitis, Runny Nose, Rash","Rubella","Infectious Diseases"
"High Fever, Parotid Gland Swelling, Jaw Pain, Difficulty Eating","Mumps","Infectious Diseases"
"Severe Diarrhea, Vomiting, Dehydration, Electrolyte Imbalance, Shock","Cholera","Infectious Diseases"
"Fever, Rash, Headache, Body Aches, Jaundice","Yellow Fever","Infectious Diseases"
"Fever, Headache, Neck Stiffness, Confusion, Petechial Rash","Meningococcemia","Infectious Diseases"
"High Fever, Severe Headache, Altered Mental Status, Seizures","Sepsis","Critical Care"
"Bleeding Gums, Petechiae, Easy Bruising, Pallor, Fatigue","Thrombocytopenia","Hematology"
"Pallor, Fatigue, Shortness of Breath, Palpitations, Dizziness","Iron Deficiency Anemia","Hematology"
"Jaundice, Pallor, Splenomegaly, Fatigue, Shortness of Breath","Hemolytic Anemia","Hematology"
"Bleeding from Multiple Sites, Petechiae, Ecchymosis, Coagulopathy","Disseminated Intravascular Coagulation","Hematology"
"Numbness in Extremities, Weakness, Ataxia, Cognitive Changes","Vitamin B12 Deficiency","Hematology"
"Hyperglycemia, Ketonuria, Diabetic Ketoacidosis, Confusion, Fruity Breath","Diabetic Ketoacidosis","Endocrinology"
"Hypoglycemia, Tremors, Confusion, Sweating, Tachycardia","Hypoglycemic Crisis","Endocrinology"
"Hyperglycemia, Hyperosmolar State, Severe Dehydration, Altered Mental Status","Hyperglycemic Hyperosmolar State","Endocrinology"
"Weakness, Palpitations, Tremors, Anxiety, Shortness of Breath","Thyroid Storm","Endocrinology"
"Severe Fatigue, Bradycardia, Hypothermia, Myxedema, Altered Mental Status","Myxedema Coma","Endocrinology"
"Hyponatremia, Confusion, Seizures, Weakness, Headache","Syndrome of Inappropriate Antidiuretic Hormone","Endocrinology"
"Hyperkalemia, Cardiac Arrhythmias, Weakness, Muscle Cramps","Hyperkalemia","Nephrology"
"Hypokalemia, Weakness, Arrhythmias, Muscle Cramps, Fatigue","Hypokalemia","Nephrology"
"Acute Kidney Injury, Oliguria, Elevated Creatinine, Hyperkalemia","Acute Renal Failure","Nephrology"
"Progressive Kidney Dysfunction, Anemia, Bone Disease, Hypertension","Chronic Kidney Disease","Nephrology"
"Proteinuria, Edema, Hypoalbuminemia, Hyperlipidemia, Hematuria","Nephrotic Syndrome","Nephrology"
"Hematuria, Proteinuria, Hypertension, Reduced GFR, Edema","Glomerulonephritis","Nephrology"
"Fever, Dysuria, Flank Pain, Nausea, Vomiting, Bacteremia","Acute Pyelonephritis","Nephrology"
